Fecha,Clics,Impresiones,CPC prom.,Costo
"mié, 29 abr 2026",18,630,PEN0.96,PEN17.35
"jue, 30 abr 2026",46,"1,123",PEN0.54,PEN24.89
"vie, 1 may 2026",57,"1,055",PEN0.40,PEN22.74
"sáb, 2 may 2026",63,"1,236",PEN0.33,PEN20.91
"dom, 3 may 2026",63,"1,484",PEN0.36,PEN22.83
"lun, 4 may 2026",73,"1,614",PEN0.32,PEN23.08
"mar, 5 may 2026",66,"1,755",PEN0.29,PEN19.24
"mié, 6 may 2026",81,"1,844",PEN0.23,PEN18.57
"jue, 7 may 2026",82,"1,928",PEN0.24,PEN19.73
"vie, 8 may 2026",74,"1,936",PEN0.27,PEN20.30
"sáb, 9 may 2026",76,"1,732",PEN0.31,PEN23.57
"dom, 10 may 2026",80,"1,544",PEN0.25,PEN19.86
"lun, 11 may 2026",80,"2,173",PEN0.38,PEN30.33
"mar, 12 may 2026",98,"2,315",PEN0.33,PEN32.26
"mié, 13 may 2026",111,"2,072",PEN0.31,PEN34.83
"jue, 14 may 2026",99,"2,202",PEN0.33,PEN32.21
"vie, 15 may 2026",79,"1,858",PEN0.29,PEN23.07
"sáb, 16 may 2026",83,"1,949",PEN0.30,PEN24.99
"dom, 17 may 2026",106,"2,148",PEN0.36,PEN37.95
"lun, 18 may 2026",67,"1,646",PEN0.39,PEN25.97
"mar, 19 may 2026",67,"1,317",PEN0.44,PEN29.29
"mié, 20 may 2026",76,"1,507",PEN0.39,PEN29.52
"jue, 21 may 2026",62,"1,473",PEN0.39,PEN24.42
"vie, 22 may 2026",59,"1,321",PEN0.46,PEN27.40
"sáb, 23 may 2026",67,"1,404",PEN0.34,PEN22.81
"dom, 24 may 2026",72,"1,528",PEN0.40,PEN28.47
"lun, 25 may 2026",33,517,PEN0.36,PEN11.96
